request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. The projected balance stays above the IDR 24768300 minimum (lowest point IDR 53306450.25).
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. The projected balance stays above the ZAR 20500 minimum (lowest point ZAR 39323.70).
request_28,427.92,affordable_later,wait,2024-08-15:1302.40,2024-08-15,none,"Wait until 2024-08-15, then pay EUR 1302.40 in full. The projected balance stays above the EUR 1100 minimum (lowest point EUR 1527.92)."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 today. The projected balance stays above the ZAR 28300 minimum (lowest point ZAR 47224.06).
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Pay in 3 installments of USD 268.74 (option payment_option_83). The projected balance stays above the USD 900 minimum (lowest point USD 1755.79).
request_31,6009674.48,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Wait until 2024-11-15, then pay IDR 18164000 in full. The projected balance stays above the IDR 16588900 minimum (lowest point IDR 22598574.48)."
request_32,19826.04,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Wait until 2025-04-15, then pay ZAR 40018 in full. The projected balance stays above the ZAR 35700 minimum (lowest point ZAR 55526.04)."
request_33,29062.44,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Wait until 2026-03-15, then pay INR 118000 in full. The projected balance stays above the INR 102100 minimum (lowest point INR 131162.44)."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. The projected balance stays above the INR 138500 minimum (lowest point INR 338953.50).
request_35,56611.78,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Wait until 2026-01-15, then pay INR 212000 in full. The projected balance stays above the INR 106400 minimum (lowest point INR 163011.78)."
request_36,926.90,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Wait until 2026-09-15, then pay USD 3954 in full. The projected balance stays above the USD 2400 minimum (lowest point USD 3326.90)."
request_37,6813645.37,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,"Wait until 2024-05-15, then pay IDR 14649000 in full. The projected balance stays above the IDR 17056200 minimum (lowest point IDR 23869845.37)."
request_38,109.32,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,"Wait until 2025-10-15, then pay EUR 971.30 in full. The projected balance stays above the EUR 400 minimum (lowest point EUR 509.32)."
request_39,84140.95,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Wait until 2026-06-15, then pay INR 208600 in full. The projected balance stays above the INR 213400 minimum (lowest point INR 297540.95)."
request_40,540,affordable_later,wait,2024-08-15:1290.30,2024-08-15,none,"Wait until 2024-08-15, then pay EUR 1290.30 in full. The projected balance stays above the EUR 1500 minimum (lowest point EUR 2040)."
request_41,13768111.07,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Wait until 2026-01-15, then pay IDR 38760000 in full. The projected balance stays above the IDR 25366600 minimum (lowest point IDR 39134711.07)."
request_42,39085.47,affordable_with_plan,full_payment,2026-01-05:52100,,reduce_to:event_3956:2695,The projected balance stays above the INR 113100 minimum (lowest point INR 147186.20). Requires reduce event_3956 to INR 2695.
request_43,9802940.49,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Wait until 2024-11-15, then pay IDR 43339000 in full. The projected balance stays above the IDR 21398000 minimum (lowest point IDR 31200940.49)."
request_44,42264.08,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Wait until 2025-04-15, then pay INR 95800 in full. The projected balance stays above the INR 82900 minimum (lowest point INR 125164.08)."
request_45,5167850.69,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Wait until 2026-09-15, then pay IDR 21983000 in full. The projected balance stays above the IDR 11149800 minimum (lowest point IDR 16317650.69)."
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,Pay in 2 installments of INR 25714 (option payment_option_125). The projected balance stays above the INR 84000 minimum (lowest point INR 110481.20).
request_47,19332156.12,not_affordable,not_recommended,none,,none,"Do not proceed with this IDR 38114000 request. Although IDR 19332156.12 is available today, the full amount cannot be completed safely within 90 days while keeping IDR 30049000."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. The projected balance stays above the INR 71300 minimum (lowest point INR 100550.01).
request_49,16172335.18,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-03-15,none,Pay in 3 installments of IDR 11902106.67 (option payment_option_133). The projected balance stays above the IDR 20275700 minimum (lowest point IDR 36448035.18).
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today. The projected balance stays above the INR 99700 minimum (lowest point INR 111811.85).
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. The projected balance stays above the IDR 7811000 minimum (lowest point IDR 14164349.86).
request_52,16481.02,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait until 2024-06-15, then pay INR 28870 in full. The projected balance stays above the INR 41500 minimum (lowest point INR 57981.02)."
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,Pay in 3 installments of USD 589.06 (option payment_option_145). The projected balance stays above the USD 2100 minimum (lowest point USD 2524.92).
request_54,6607.67,not_affordable,not_recommended,none,,none,"Do not proceed with this ZAR 121528 request. Although ZAR 6607.67 is available today, the full amount cannot be completed safely within 90 days while keeping ZAR 37000."
request_55,134746.67,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,Pay in 3 installments of INR 75781.33 (option payment_option_151). The projected balance stays above the INR 124300 minimum (lowest point INR 149489.87).
request_56,617.74,affordable_with_plan,partial_payment,2025-02-03:617.74|2025-02-15:263.82,2025-02-15,none,Pay USD 617.74 today and the remaining USD 263.82 on 2025-02-15. The projected balance stays above the USD 2100 minimum (lowest point USD 2100).
request_57,11132.24,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Wait until 2026-06-15, then pay ZAR 61446 in full. The projected balance stays above the ZAR 42700 minimum (lowest point ZAR 53832.24)."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today. The projected balance stays above the IDR 14433900 minimum (lowest point IDR 15883170.12).
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Pay in 3 installments of INR 48741.33 (option payment_option_163). The projected balance stays above the INR 132600 minimum (lowest point INR 239693.98).
request_60,183.63,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,"Wait until 2026-01-15, then pay USD 199.89 in full. The projected balance stays above the USD 400 minimum (lowest point USD 583.63)."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Pay in 3 installments of ZAR 10074.83 (option payment_option_169). The projected balance stays above the ZAR 36700 minimum (lowest point ZAR 130640.94).
